              reads_raw  trim_adapter_bp_read1  trim_adapter_bp_read2  trim_quality_bp_read1  trim_quality_bp_read2  reads_filtered_by_Ns  reads_filtered_by_minlen  reads_passed_filter
BLANK1            11507                   5191                   5731                   1761                   6338                     0                       219                11288
BM260           3502837                2710352                2781181                 954264                3308656                    34                    305218              3197585
BM527           2908824                2296547                2360698                 812828                2888654                    35                    310662              2598127
CAS178101       3063095                2725080                2781181                 748563                3069867                    19                    624288              2438788
CORBIDI5457     2546955                1725899                1830537                 727692                2127038                    30                    121846              2425079
H0805           1746874                1033389                1094856                 428286                1281793                    20                     53564              1693290
H1888           2762386                2077493                2160355                 774423                2627935                    25                    210520              2551841
H3705           1927444                 803218                 885684                 391198                 902365                    21                     18385              1909038
H4108           2584553                1631504                1757176                 633058                1881859                    31                     69870              2514652
H4113           3153086                2529111                2585870                 703768                2772655                    26                    356797              2796263
HJ0174          2480517                1811632                1867305                 590179                2109881                    29                    219304              2261184
JFT726          3060904                2336573                2399113                 706625                2614546                    27                    243227              2817650
LSUMZH12538b    1560414                 867291                 921507                 357894                1042086                    14                     50750              1509650
LSUMZH12545a    2883598                2204323                2286422                 781120                2648925                    26                    245772              2637800
LSUMZH14094     3296516                2590040                2649129                 762228                3008358                    30                    326205              2970281
LSUMZH14327a    2712373                1958116                2053045                 722246                2516312                    33                    182438              2529902
LSUMZH15471     3053853                2350118                2403835                 787924                2876392                    38                    215035              2838780
MTR04529        3306364                2771458                2842734                1261990                3451075                    37                    486941              2819386
MTR06037        3372937                2627682                2735996                 825463                2761975                    45                    149877              3223015
MTR06262        3315782                2588605                2664956                 843941                3015445                    37                    238985              3076760
MTR12159        2785251                2203989                2277778                 745441                2637586                    37                    242310              2542904
MTR12860        3004004                2337758                2389844                 796463                2883577                    31                    306401              2697572
MTR13253        2889695                2441035                2482934                 688961                2930996                    31                    386437              2503227
MTR18729        3631176                3078634                3138741                 833939                3314503                    43                    384310              3246823
MTR18816        2653886                2150999                2209119                 677484                2641370                    29                    293466              2360391
MTR18923        3270839                2537515                2607813                 725652                2566308                    29                    195714              3075096
MTR19062        3419674                2911686                2963149                 743512                3282494                    36                    517437              2902201
MTR19188        3292480                2664229                2729643                 808812                3139022                    42                    320296              2972142
MTR20541        3310002                2409097                2504464                 799410                2613913                    38                     86281              3223683
MTR20711        3492065                2727548                2794239                 883546                3199180                    37                    334763              3157265
MTR20738        3128049                2392343                2459079                 766107                2816956                    42                    304449              2823558
MTR21992        3055740                2404625                2491051                 742793                2827615                    29                    316565              2739146
MTR23059        2953126                2408066                2453567                 759152                2892103                    34                    352131              2600961
MTR23120        3036048                2402484                2484566                 825374                3058158                    28                    329949              2706071
MTR23156        3072828                2077672                2214405                 779053                2181456                    38                     90894              2981896
MTR24137        2651088                1951858                2048738                 694545                2377703                    34                    192507              2458547
MTR25524        3054459                2355052                2445789                 802052                2740370                    30                    202376              2852053
MTR25538        3253659                2619195                2676444                 804784                3173009                    29                    327582              2926048
MTR25984        3649324                2848659                2917193                 923878                3420040                    38                    264599              3384687
MTR26007        2985499                2454975                2511630                 746358                3033800                    21                    346595              2638883
MTR28194        3407392                2750425                2821647                 767315                2939011                    43                    269486              3137863
MTR28206        2928452                2372619                2433802                 707873                2857352                    33                    338288              2590131
MTR28265        2674045                2027490                2071666                 680239                2395803                    36                    226086              2447923
MTR28393        3720031                3067004                3126439                 857622                3428308                    40                    408452              3311539
MTR28414        2955369                2317391                2370207                 735934                2773609                    36                    305394              2649939
MTR28535        4966158                3669180                3762375                1259151                4485581                    49                    428343              4537766
MTR28563        3207561                2411193                2490631                 796816                2717660                    30                    183204              3024327
MTR28565        2929381                2306270                2380912                 747260                2807610                    32                    276173              2653176
MTR28577        2988277                2345941                2397328                 791086                2941677                    27                    315815              2672435
MTR28579        2965799                2349890                2400133                 733206                2816982                    23                    323123              2642653
MTR33060        2895018                2196615                2256353                 719348                2582305                    36                    255025              2639957
MTR33063        3323978                2650097                2716047                 728988                2757395                    45                    240686              3083247
MTR34156        2863420                2160818                2257375                 689222                2580551                    34                    223799              2639587
MTR34394        3518605                2824661                2882879                 805299                3057909                    30                    317522              3201053
MTR34472        2565763                1972030                2023519                 624757                2334325                    26                    229163              2336574
MTR34595        2871396                1953792                2084875                 664512                2162247                    36                    117190              2754170
MTR35696        3860620                3127189                3207890                 883756                3376610                    32                    298338              3562250
MTR35698        3315464                2316640                2420759                 843593                2498271                    37                    111029              3204398
MTR35708        2776903                2053800                2132208                 916500                2645895                    30                    151374              2625499
MTR35861        3210869                2566060                2632698                 763987                2831073                    39                    302340              2908490
MTR35916        3175085                2462341                2548286                 985519                3186918                    39                    218790              2956256
MTR35968        3210979                2548544                2611964                 782057                2992010                    39                    323494              2887446
MTR36086        3446853                2863524                2923042                 819183                3263949                    33                    411556              3035264
MTR36275        3256472                2554766                2631337                 838718                3077856                    42                    322153              2934277
MTR36540        3427487                2891192                2956975                 907971                3435489                    33                    459896              2967558
MTR36732        3143320                2420291                2504543                 853850                2947990                    28                    233353              2909939
MTR36819        3217091                2558881                2645656                 808663                2997488                    38                    301206              2915847
MTR36879        2985239                2484015                2525884                 770885                3004409                    35                    391065              2594139
MTR36940        3375703                2716828                2772823                 889562                3332507                    47                    338448              3037208
MTR36942        2994790                2338923                2399513                 744439                2749353                    24                    279388              2715378
MTR37027        3183978                2433413                2509256                 823236                2857314                    22                    205179              2978777
MTR39952        2302101                1848102                1912182                 588951                2121292                    21                    169423              2132657
MTR40119        3322417                2683708                2743423                 805412                3059807                    36                    369865              2952516
MTR40374        3039224                2320432                2399464                 808477                2869002                    35                    292773              2746416
MTR40847        3252150                2569593                2630395                 807746                3072043                    33                    300926              2951191
MTR40906        2946561                2461308                2525584                 722332                2963093                    37                    389947              2556577
MTR41369        2973520                2309635                2374418                 753700                2580047                    33                    207559              2765928
