locality,dewlap_group,N_fusco,country,state,latitude,longitude,Anolis_fuscoauratus_GRAY,Anolis_fuscoauratus_PINK,Anolis_fuscoauratus_YELLOW,Anolis_auratus,Anolis_chrysolepis,Anolis_dissimilis,Anolis_nasofrontalis,Anolis_ortonii,Anolis_planiceps,Anolis_punctatus,Anolis_scypheus,Anolis_tandai,Anolis_trachyderma,Anolis_transversalis,Draconura,Dactyloa,Draconura_less_reflective,Draconura_more_reflective,Anolis_more_reflective,Anolis_less_reflective
Alvaraes,Gray,6,Brazil,AM,-3.2103,-64.8053,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
Barrolandia_EE_Gregorio_Bondar_CEPLAN,Yellow,24,Brazil,BA,-16.0942,-39.2157,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,1
Belo_Monte_Vitoria_do_Xingu,Pink,4,Brazil,PA,-3.3244,-51.8587,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,1,1
Boca_do_Acre_ramal_bode_preto,Pink,3,Brazil,AM,-9.005,-67.1815,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1
Boca_do_Acre_ramal_Cruzeirinho,Pink,3,Brazil,AM,-8.7598,-67.3089,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cacauali,Gray,11,Brazil,AM,-1.4341,-61.8267,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coari,Pink,2,Brazil,AM,-4.0868,-63.0968,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1
Cruzeiro_do_Sul_Programa_de_Assentamento_Dirigido_Santa_Luzia,Pink,5,Brazil,AC,-7.8639,-72.417,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cruzeiro_do_Sul_Vila_de_Sao_Pedro,Gray,9,Brazil,AC,-7.7014,-72.7413,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0
Estacao_Ecologica_Estadual_Wenceslau_Guimaraes_EEEWG,Gray,3,Brazil,BA,-13.5785,-39.7086,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fonte_Boa,Yellow,3,Brazil,AM,-2.528,-66.162,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1
